Modelo,Conjunto,R2 valor,MAE valor,RMSE valor
Regresión Lineal,Entrenamiento,0.6233390995793651,1880.7161938329489,5113.8599432617975
Regresión Lineal,Validación,0.5112505796806077,2216.455905148033,8567.967947891948
Regresión Lineal,Test,0.7222297775708992,1773.9859451412558,4333.9400958942415
Árboles de Decisión,Entrenamiento,0.93348126640005,511.637908585567,2149.0451786567032
Árboles de Decisión,Validación,0.6860119350731804,1040.557771051982,6867.38310457812
Árboles de Decisión,Test,0.861576646005531,745.6506865823117,3059.4597558896457
Random Forest,Entrenamiento,0.9567674753745565,434.6302794228435,1732.522399197222
Random Forest,Validación,0.7163810377531973,960.8028279357588,6526.830544868828
Random Forest,Test,0.8843760647231068,677.8680594185948,2796.17233254514
XGBoost,Entrenamiento,0.9738712456885075,551.1459903703363,1346.8924299390258
XGBoost,Validación,0.7049319931993436,1112.5871309189947,6657.263806391156
XGBoost,Test,0.8900663727560987,756.0268586404866,2726.4989810619813
Red Neuronal,Entrenamiento,0.8742300213623788,1152.668173883324,2955.031079853677
Red Neuronal,Validación,0.6934043292177026,1567.266074120933,6786.060303166226
Red Neuronal,Test,0.8169590711248716,1274.6048419812535,3518.148495460839
